,price_diff,profit,total,returns,accuracy,equity
2016-06-01 21:30:00,-1.0,-0.0,27450.0,0.0,0.980879934704,27450.0
2016-06-01 22:00:00,-2.5,-0.0,27450.0,0.0,0.980879934704,27450.0
2016-06-01 22:30:00,-4.75,-0.0,27450.0,0.0,0.980879934704,27450.0
2016-06-01 23:00:00,1.5,0.0,27450.0,0.0,0.980879934704,27450.0
2016-06-01 23:30:00,-0.25,-0.0,27450.0,0.0,0.980879934704,27450.0
2016-06-02 01:00:00,0.25,0.0,27450.0,0.0,0.980879934704,27450.0
2016-06-02 01:30:00,0.75,0.0,27450.0,0.0,0.980879934704,27450.0
2016-06-02 02:00:00,-0.5,-0.0,27450.0,0.0,0.980879934704,27450.0
2016-06-02 02:30:00,-0.25,-0.0,27450.0,0.0,0.980879934704,27450.0
2016-06-02 03:00:00,-1.5,-0.0,27450.0,0.0,0.980879934704,27450.0
2016-06-02 03:30:00,-2.5,-0.0,27450.0,0.0,0.980879934704,27450.0
2016-06-02 04:00:00,1.25,0.0,27450.0,0.0,0.980879934704,27450.0
2016-06-02 04:30:00,-1.25,-0.0,27450.0,0.0,0.980879934704,27450.0
2016-06-02 05:00:00,-4.5,-0.0,27450.0,0.0,0.980879934704,27450.0
2016-06-02 05:30:00,-0.75,-0.0,27450.0,0.0,0.980879934704,27450.0
2016-06-02 06:00:00,1.75,0.0,27450.0,0.0,0.980879934704,27450.0
2016-06-02 06:30:00,-0.75,-0.0,27450.0,0.0,0.980879934704,27450.0
2016-06-02 07:00:00,-1.5,-0.0,27450.0,0.0,0.980879934704,27450.0
2016-06-02 07:30:00,1.0,0.0,27450.0,0.0,0.980879934704,27450.0
2016-06-02 08:00:00,-2.0,-0.0,27450.0,0.0,0.980879934704,27450.0
2016-06-02 08:30:00,0.5,0.0,27450.0,0.0,0.980879934704,27450.0
2016-06-02 09:00:00,0.75,0.0,27450.0,0.0,0.980879934704,27450.0
2016-06-02 09:30:00,0.5,0.0,27450.0,0.0,0.980879934704,27450.0
2016-06-02 10:00:00,2.25,0.0,27450.0,0.0,0.980879934704,27450.0
2016-06-02 10:30:00,-1.0,-0.0,27450.0,0.0,0.980879934704,27450.0
2016-06-02 11:00:00,2.25,0.0,27450.0,0.0,0.980879934704,27450.0
2016-06-02 11:30:00,1.5,0.0,27450.0,0.0,0.980879934704,27450.0
2016-06-02 12:00:00,-1.25,-0.0,27450.0,0.0,0.980879934704,27450.0
2016-06-02 12:30:00,2.25,0.0,27450.0,0.0,0.980879934704,27450.0
2016-06-02 13:00:00,0.5,0.0,27450.0,0.0,0.980879934704,27450.0
2016-06-02 13:30:00,0.5,0.0,27450.0,0.0,0.980879934704,27450.0
2016-06-02 14:00:00,-0.5,-0.0,27450.0,0.0,0.980879934704,27450.0
2016-06-02 14:30:00,-1.0,-0.0,27450.0,0.0,0.980879934704,27450.0
2016-06-02 15:00:00,0.0,0.0,27450.0,0.0,0.980879934704,27450.0
2016-06-02 15:30:00,-5.0,-0.0,27450.0,0.0,0.980879934704,27450.0
2016-06-02 16:00:00,-0.75,-0.0,27450.0,0.0,0.980879934704,27450.0
2016-06-02 16:30:00,-19.0,-0.0,27450.0,0.0,0.980879934704,27450.0
2016-06-02 17:00:00,13.5,0.0,27450.0,0.0,0.980879934704,27450.0
2016-06-02 17:30:00,2.5,0.0,27450.0,0.0,0.980879934704,27450.0
2016-06-02 18:00:00,2.5,0.0,27450.0,0.0,0.980879934704,27450.0
2016-06-02 18:30:00,-1.0,-0.0,27450.0,0.0,0.980879934704,27450.0
2016-06-02 19:00:00,-6.5,-0.0,27450.0,0.0,0.980879934704,27450.0
2016-06-02 19:30:00,8.25,0.0,27450.0,0.0,0.980879934704,27450.0
2016-06-02 20:00:00,-0.25,-0.0,27450.0,0.0,0.980879934704,27450.0
2016-06-02 20:30:00,5.25,0.0,27450.0,0.0,0.980879934704,27450.0
2016-06-02 21:00:00,4.5,0.0,27450.0,0.0,0.980879934704,27450.0
2016-06-02 21:30:00,0.75,0.0,27450.0,0.0,0.980879934704,27450.0
2016-06-02 22:00:00,1.75,0.0,27450.0,0.0,0.980879934704,27450.0
