permid,account,clientid,commission,commission_currency,exchange,execid,expiry,level_0,orderid,price,qty,openqty,realized_PnL,side,symbol,symbol_currency,times,yield_redemption_date,balance,margin_available
128,Paper,Paper,2.0,USD,IDEALPRO,128.0,,,1.0,113.681,50000.0,25000.0,-237.1795446,BOT,USD,JPY,20160316 14:06:10 EST,,9953.551774,6027212.31686
129,Paper,Paper,2.0,USD,IDEALPRO,129.0,,,1.0,1.10668,50000.0,25000.0,485.641523,BOT,EUR,USD,20160316 14:08:26 EST,,10439.193297,6082546.31686
130,Paper,Paper,2.0,USD,IDEALPRO,130.0,,,1.0,1.33611,50000.0,25000.0,-570.340672633,BOT,USD,CAD,20160316 14:08:52 EST,,9868.85262437,6132476.74756
131,Paper,Paper,2.0,USD,IDEALPRO,131.0,,,1.0,113.681,50000.0,-25000.0,293.4598482,SLD,USD,JPY,20160316 14:09:13 EST,,10162.3124726,6182200.92771
132,Paper,Paper,2.0,USD,IDEALPRO,132.0,,,1.0,0.74324,50000.0,-25000.0,-311.44444445,SLD,AUD,USD,20160316 14:10:28 EST,,9850.86802815,6219672.37215
133,Paper,Paper,2.0,USD,IDEALPRO,133.0,,,1.0,0.98959,50000.0,25000.0,-406.079396311,BOT,USD,CHF,20160316 14:11:38 EST,,9444.78863184,6269755.52205
134,Paper,Paper,2.0,USD,IDEALPRO,134.0,,,1.0,1.10668,50000.0,-25000.0,-486.8805075,SLD,EUR,USD,20160316 14:13:29 EST,,8957.90812434,6325574.40256
135,Paper,Paper,2.0,USD,IDEALPRO,135.0,,,1.0,1.33611,50000.0,-25000.0,590.295491002,SLD,USD,CAD,20160316 14:13:39 EST,,9548.20361534,6374912.53777
136,Paper,Paper,2.0,USD,IDEALPRO,136.0,,,1.0,0.98959,50000.0,-25000.0,409.02373212,SLD,USD,CHF,20160316 14:13:43 EST,,9957.22734746,6424584.66394
137,Paper,Paper,2.0,USD,IDEALPRO,137.0,,,1.0,113.681,50000.0,25000.0,-294.67328288,BOT,USD,JPY,20160316 14:13:47 EST,,9662.55406458,6474604.30394
138,Paper,Paper,2.0,USD,IDEALPRO,138.0,,,1.0,1.10668,50000.0,25000.0,486.960169,BOT,EUR,USD,20160316 14:14:32 EST,,10149.5142336,6529938.30394
139,Paper,Paper,2.0,USD,IDEALPRO,139.0,,,1.0,0.98959,50000.0,25000.0,-424.785710707,BOT,USD,CHF,20160316 14:15:22 EST,,9724.72852289,6580021.45384
